Case #,Date,country_id,state_id, Description , Deaths , Tesla driver , Tesla occupant , Other vehicle , Cyclists/ Peds , TSLA+cycl / peds ,model_id, Autopilot claimed , Verified Tesla Autopilot Deaths , Verified Tesla Autopilot Deaths + All Deaths Reported to NHTSA SGO 
209,3/12/2022,c023,s023, Tesla ignites on parkway ,1,1,,,,1,m004,,,
177,8/29/2021,c023,s023," Car hits utility pole, ignites ",2,1,1,,,2,m003,,,
172,7/26/2021,c023,s023, Pedestrian hit on shoulder ,1,,,,1,1,,1,1,1
163,6/11/2021,c023,s023, Driver crashes into senior living facility ,1,,1,,,1,,,,
186,11/8/2021,c023,s024," Tesla hits fixture, catches fire ",1,1,,,,1,,,,
146,3/7/2021,c023,s024, 3 car collision near intersection ,1,,,1,,,,,,
113,4/1/2020,c023,s024, Tesla drive off road into tree ,1,1,0,0,0,1,m003,,,
79,9/11/2019,c023,s024, Subaru strikes Tesla ,1,0,0,1,0,0,m004,,,
41,4/28/2018,c023,s024, Ohio prom night crash ,1,0,1,0,0,1,m004,,,
13,4/8/2016,c023,s024, Chevy Cobalt wrong way into Tesla ,1,0,0,1,0,0,,,,
232,5/28/2022,c023,s025, Tesla loses control and crashes into car ,2,1,,1,,1,m006,,,
230,5/25/2022,c023,s025, Tesla crashes into pole ,1,,1,,,1,m004,,,
250,7/16/2022,c023,s026, Tesla goes airborne and crashes ,1,1,,,,1,,,,
241,6/20/2022,c023,s026, Tesla hit and run ,1,0,,,1,1,,,,
220,5/1/2022,c023,s026, Tesla DUI hits pedestrian ,1,,,,1,1,,,,
174,8/17/2021,c023,s026, Tesla crashes into guardrail ,1,1,,,,1,m003,,,
152,4/3/2021,c023,s026," Tesla loses control, hits railing and cut in half ",2,1,1,,,2,,,,
84,10/19/2019,c023,s026," Man thrown from vehicle, struck by Tesla ",1,0,0,1,0,0,m005,1,,1
76,9/7/2019,c023,s026," Tesla drives through T intersection, into woods ",1,0,1,0,0,1,m003,,,
270,9/18/2022,c023,s027," Tesla crashes into tree, ignites ",2,1,1,,,2,,,,
261,8/23/2022,c023,s027, Multi-car accident on highway ,2,0,,2,,,m003,,2,2
35,9/24/2017,c023,s028, Tesla drives off road ,1,1,0,0,0,1,,,,
157,4/17/2021,c023,s029," Tesla crashes into tree, bursts into fire ",2,,,,,2,m004,2,,
154,4/14/2021,c023,s029, Head-on collision involving a Tesla ,1,1,,,,1,,,,
95,12/1/2019,c023,s029, Struck Ford veers into Tesla's lane ,2,0,0,2,0,0,,,,
11,12/28/2015,c023,s029, Sudden unintended acceleration into pool ,1,1,0,0,0,1,,,,
251,7/24/2022,c023,s030, Tesla hits motorcycle ,1,0,,1,,,m003,1,1,1
221,5/7/2022,c023,s030, Tesla DUI involving another vehicle ,2,,,2,,,,,,
141,1/10/2021,c023,s030," Car collides with Tesla, both drivers die ",2,1,,1,,,,,,
124,7/18/2020,c023,s030," Tesla races other car, other car crashes ",1,0,,1,,,,,,
103,1/5/2020,c023,s030," Tesla runs red, strikes car, burns ",2,0,0,2,0,0,,,,
161,5/26/2021,c023,s031, Tesla involved in multi-car highway accident ,4,,,4,,,,,,
128,8/24/2020,c023,s031," Two car collision at intersection, other driver dies afterwards ",1,0,,1,,,m005,,,
78,9/11/2019,c023,s031, Tesla kills motorcyclist ,1,0,0,1,0,0,m004,,,
55,12/30/2018,c023,s031," Early morning, single car collision ",1,1,0,0,0,1,m003,,,
292,1/7/2023,c023,s032," Tesla hits pole, catches on fire ",1,0,1,,,1,,,,
164,6/11/2021,c023,s032, Tesla crashes through backyard fence ,1,1,,,,1,,,,
162,6/1/2021,c023,s032," Tesla hits concrete barrier, later catches on fire ",1,1,,,,1,,,,
293,1/7/2023,c004,, Tesla crashes ,1,1,,,,1,,,,
290,12/19/2022,c004,, Tesla crashes into storefront ,1,0,,,1,1,,,,
285,12/6/2022,c004,," Tesla veers, collides with truck ",1,1,,,,,,,,
284,11/28/2022,c005,," Tesla runs red light, collides with two cars ",2,0,,2,,,m006,,,
281,11/18/2022,c005,, Tesla crashes into dump truck ,1,1,,,,1,,,,
280,11/12/2022,c012,, Tesla hits Toyota ,1,0,,1,,,,,,
277,11/5/2022,c005,, Out of control Tesla hits bicyclist and motorcyclist ,2,0,,1,1,1,,,,
273,10/12/2022,c021,, Tesla crashes into ditch ,1,1,,,,1,m002,,,
260,8/21/2022,c021,," Car drives thru garage, hits Tesla, lands on railroad tracks ",1,0,,1,,,,,,
257,8/16/2022,c009,," Tesla car crashes into tree, burns ",3,0,,,,3,,,,
255,8/14/2022,c007,, Unlicensed driver hits pedestrian ,1,0,,,1,1,,,,
253,7/27/2022,c004,, Tesla hits cyclist ,1,0,,,1,1,,,,
249,7/12/2022,c005,, Out of control Tesla hits pedestrians ,2,0,,,2,2,m006,,,
240,6/20/2022,c004,, Tesla runs into overpass ,1,1,,,,1,,,,
228,5/21/2022,c005,, Tesla hits pedestrian ,1,,,,1,1,,,,
223,5/12/2022,c001,, Tesla hit pedestrian who dies 5 days later from injuries ,1,,,,1,1,m005,,,
217,4/10/2022,c021,, Two car accident ,1,,,1,,,,,,
